time(s),surface angle(deg),rotor speed(rad/s),ranging distance(m),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
0.1263,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.1273,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.12829,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.1293,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.1303,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.1313,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.1323,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.1333,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.13429,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.1353,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.1363,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.1373,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.1383,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.1393,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.1403,0,0,0.045,2.32999,5.4,62.68,0.064,-0.398,-0.20099
0.1413,0,0,0.045,2.32999,5.4,62.68,0.064,-0.398,-0.20099
0.1423,0,0,0.045,2.32999,5.4,62.68,0.064,-0.398,-0.20099
0.1433,0,0,0.045,2.32999,5.4,62.68,0.064,-0.398,-0.20099
0.14429,0,0,0.045,2.32999,5.4,62.68,0.064,-0.398,-0.20099
0.1453,0,0,0.045,2.32999,5.4,62.68,0.064,-0.398,-0.20099
0.1463,0,0,0.045,2.32999,5.4,62.68,0.064,-0.398,-0.20099
0.1473,0,0,0.045,2.32999,5.4,62.68,0.064,-0.398,-0.20099
0.1483,0,0,0.045,2.32999,5.4,62.68,0.064,-0.398,-0.20099
0.1493,0,0,0.045,2.32999,5.4,62.68,0.064,-0.398,-0.20099
0.1503,0,0,0.045,2.37999,5.36999,62.66999,0.064,-0.398,-0.20199
0.1513,0,0,0.045,2.37999,5.36999,62.66999,0.064,-0.398,-0.20199
0.1523,0,0,0.045,2.37999,5.36999,62.66999,0.064,-0.398,-0.20199
0.1533,0,0,0.045,2.37999,5.36999,62.66999,0.064,-0.398,-0.20199
0.15429,0,0,0.045,2.37999,5.36999,62.66999,0.064,-0.398,-0.20199
0.1553,0,0,0.045,2.37999,5.36999,62.66999,0.064,-0.398,-0.20199
0.1563,0,0,0.045,2.37999,5.36999,62.66999,0.064,-0.398,-0.20199
0.1573,0,0,0.045,2.37999,5.36999,62.66999,0.064,-0.398,-0.20199
0.15829,0,0,0.045,2.37999,5.36999,62.66999,0.064,-0.398,-0.20199
0.1593,0,0,0.045,2.37999,5.36999,62.66999,0.064,-0.398,-0.20199
0.1603,0,0,0.045,2.29999,5.32999,62.64999,0.063,-0.398,-0.20199
0.1613,0,0,0.045,2.29999,5.32999,62.64999,0.063,-0.398,-0.20199
0.1623,0,0,0.045,2.29999,5.32999,62.64999,0.063,-0.398,-0.20199
0.1633,0,0,0.045,2.29999,5.32999,62.64999,0.063,-0.398,-0.20199
0.16429,0,0,0.045,2.29999,5.32999,62.64999,0.063,-0.398,-0.20199
0.1653,0,0,0.045,2.29999,5.32999,62.64999,0.063,-0.398,-0.20199
0.1663,0,0,0.045,2.29999,5.32999,62.64999,0.063,-0.398,-0.20199
0.1673,0,0,0.045,2.29999,5.32999,62.64999,0.063,-0.398,-0.20199
0.1683,0,0,0.045,2.29999,5.32999,62.64999,0.063,-0.398,-0.20199
0.1693,0,0,0.045,2.29999,5.32999,62.64999,0.063,-0.398,-0.20199
0.1703,0,0,0.045,2.28999,5.4,62.68,0.063,-0.398,-0.20199
0.1713,0,0,0.045,2.28999,5.4,62.68,0.063,-0.398,-0.20199
0.1723,0,0,0.045,2.28999,5.4,62.68,0.063,-0.398,-0.20199
0.1733,0,0,0.045,2.28999,5.4,62.68,0.063,-0.398,-0.20199
0.1743,0,0,0.045,2.28999,5.4,62.68,0.063,-0.398,-0.20199
0.1753,0,0,0.045,2.28999,5.4,62.68,0.063,-0.398,-0.20199
0.1763,0,0,0.045,2.28999,5.4,62.68,0.063,-0.398,-0.20199
0.1773,0,0,0.045,2.28999,5.4,62.68,0.063,-0.398,-0.20199
0.17829,0,0,0.045,2.28999,5.4,62.68,0.063,-0.398,-0.20199
0.1793,0,0,0.045,2.28999,5.4,62.68,0.063,-0.398,-0.20199
0.18029,0,0,0.045,2.25,5.32999,62.71999,0.064,-0.398,-0.20099
0.1813,0,0,0.045,2.25,5.32999,62.71999,0.064,-0.398,-0.20099
0.1823,0,0,0.045,2.25,5.32999,62.71999,0.064,-0.398,-0.20099
0.1833,0,0,0.045,2.25,5.32999,62.71999,0.064,-0.398,-0.20099
0.1843,0,0,0.045,2.25,5.32999,62.71999,0.064,-0.398,-0.20099
0.1853,0,0,0.045,2.25,5.32999,62.71999,0.064,-0.398,-0.20099
0.1863,0,0,0.045,2.25,5.32999,62.71999,0.064,-0.398,-0.20099
0.1873,0,0,0.045,2.25,5.32999,62.71999,0.064,-0.398,-0.20099
0.18829,0,0,0.045,2.25,5.32999,62.71999,0.064,-0.398,-0.20099
0.1893,0,0,0.045,2.25,5.32999,62.71999,0.064,-0.398,-0.20099
0.1903,0,0,0.045,2.25999,5.38999,62.68999,0.06599,-0.398,-0.20099
0.1913,0,0,0.045,2.25999,5.38999,62.68999,0.06599,-0.398,-0.20099
0.1923,0,0,0.045,2.25999,5.38999,62.68999,0.06599,-0.398,-0.20099
0.19329,0,0,0.045,2.25999,5.38999,62.68999,0.06599,-0.398,-0.20099
0.19429,0,0,0.045,2.25999,5.38999,62.68999,0.06599,-0.398,-0.20099
0.1953,0,0,0.045,2.25999,5.38999,62.68999,0.06599,-0.398,-0.20099
0.1963,0,0,0.045,2.25999,5.38999,62.68999,0.06599,-0.398,-0.20099
0.1973,0,0,0.045,2.25999,5.38999,62.68999,0.06599,-0.398,-0.20099
0.19831,0,0,0.045,2.25999,5.38999,62.68999,0.06599,-0.398,-0.20099
0.19933,0,0,0.045,2.25999,5.38999,62.68999,0.06599,-0.398,-0.20099
0.2003,0,0,0.045,2.25999,5.46,62.65999,0.067,-0.398,-0.20099
0.2013,0,0,0.045,2.25999,5.46,62.65999,0.067,-0.398,-0.20099
0.2023,0,0,0.045,2.25999,5.46,62.65999,0.067,-0.398,-0.20099
0.20329,0,0,0.045,2.25999,5.46,62.65999,0.067,-0.398,-0.20099
0.20429,0,0,0.045,2.25999,5.46,62.65999,0.067,-0.398,-0.20099
