time(s),target rotor speed(rad/s),rotor speed(rad/s),motor output,equivalent output,battery voltage(V)
0.38919,790.00000,709.56359,0.49441,0.46109,14.78180
0.39019,790.00000,709.56359,0.49458,0.46109,14.77697
0.39119,790.00000,709.56359,0.49474,0.46109,14.77213
0.39219,790.00000,711.25030,0.49490,0.46109,14.76726
0.39319,790.00000,711.25030,0.49507,0.46109,14.76237
0.39419,790.00000,713.51184,0.49523,0.46109,14.75746
0.39519,790.00000,716.93121,0.49540,0.46109,14.75253
0.39619,790.00000,719.22906,0.49556,0.46109,14.74758
0.39719,790.00000,720.38354,0.49573,0.46109,14.74261
0.39819,790.00000,720.38354,0.49590,0.46109,14.73762
0.39919,790.00000,719.22906,0.49606,0.46109,14.73262
0.40019,790.00000,720.38354,0.49623,0.46109,14.72759
0.40119,790.00000,720.38354,0.49640,0.46109,14.72255
0.40219,790.00000,721.54168,0.49657,0.46109,14.71749
0.40319,790.00000,721.54168,0.49675,0.46109,14.71242
0.40419,790.00000,721.54168,0.49692,0.46109,14.70733
0.40519,790.00000,727.97882,0.49709,0.46109,14.70222
0.40619,790.00000,729.75439,0.49726,0.46109,14.69710
0.40719,790.00000,729.75439,0.49744,0.46109,14.69197
0.40819,790.00000,729.75439,0.49761,0.46109,14.68682
0.40920,790.00000,729.75439,0.49779,0.46109,14.68167
0.41019,790.00000,727.97882,0.49796,0.46109,14.67649
0.41119,790.00000,729.75439,0.49814,0.46109,14.67131
0.41219,790.00000,731.53863,0.49831,0.46109,14.66612
0.41319,790.00000,732.73297,0.49849,0.46109,14.66091
0.41419,790.00000,732.73297,0.49867,0.46109,14.65569
0.41519,790.00000,732.73297,0.49885,0.46109,14.65047
0.41619,790.00000,737.54962,0.49903,0.46109,14.64523
0.41719,790.00000,737.54962,0.49920,0.46109,14.63999
0.41819,790.00000,732.73297,0.49938,0.46109,14.63474
0.41919,790.00000,732.73297,0.49956,0.46109,14.62947
0.42019,790.00000,737.54962,0.49974,0.46109,14.62421
0.42119,790.00000,738.15612,0.49992,0.46109,14.61893
0.42219,790.00000,738.15612,0.50010,0.46109,14.61364
0.42319,790.00000,739.37219,0.50028,0.46109,14.60836
0.42419,790.00000,739.37219,0.50047,0.46109,14.60306
0.42519,790.00000,739.37219,0.50065,0.46109,14.59776
0.42619,790.00000,738.15612,0.50083,0.46109,14.59246
0.42719,790.00000,739.37219,0.50101,0.46109,14.58715
0.42820,790.00000,737.54962,0.50119,0.46109,14.58185
0.42919,790.00000,737.54962,0.50138,0.46109,14.57653
0.43019,790.00000,737.54962,0.50156,0.46109,14.57122
0.43119,790.00000,737.54962,0.50174,0.46109,14.56591
0.43219,790.00000,736.94409,0.50193,0.46109,14.56059
0.43319,790.00000,736.94409,0.50211,0.46109,14.55528
0.43419,790.00000,737.54962,0.50229,0.46109,14.54996
0.43519,790.00000,737.54962,0.50248,0.46109,14.54465
0.43619,790.00000,737.54962,0.50266,0.46109,14.53933
0.43719,790.00000,741.81640,0.50284,0.46109,14.53401
0.43819,790.00000,741.81640,0.50303,0.46109,14.52869
0.43919,790.00000,741.81640,0.50321,0.46109,14.52338
0.44019,790.00000,741.81640,0.50340,0.46109,14.51806
0.44119,790.00000,746.13293,0.50358,0.46109,14.51274
0.44219,790.00000,746.13293,0.50377,0.46109,14.50743
0.44320,790.00000,746.13293,0.50395,0.46109,14.50211
